topo_target	topo_source1	topo_source2	nadmix
18_G	18_G	18_G	0
18_H	18_H	18_H	1
18_I	18_I	18_I	4
18_J	18_J	18_J	0
18_K	18_K	18_K	2
18_L	18_L	18_L	0
18_M	18_M	18_M	0
19_A	19_A	19_A	2
19_B	19_B	19_B	1
19_C	19_C	19_C	1
19_D	19_D	19_D	1
19_E	19_E	19_E	0
19_F	19_F	19_F	1
19_G	19_G	19_G	0
19_H	19_H	19_H	3
19_I	19_I	19_I	5
19_J	19_J	19_J	3
19_K	19_K	19_K	0
19_L	19_L	19_L	1
19_M	19_M	19_M	1
20_A	20_A	20_A	1
20_B	20_B	20_B	2
20_C	20_C	20_C	1
20_D	20_D	20_D	0
20_E	20_E	20_E	3
20_F	20_F	20_F	0
20_G	20_G	20_G	2
20_H	20_H	20_H	2
20_I	20_I	20_I	2
20_J	20_J	20_J	0
20_K	20_K	20_K	1
20_L	20_L	20_L	0
20_M	20_M	20_M	1
21_A	21_A	21_A	0
21_B	21_B	21_B	1
21_C	21_C	21_C	0
21_D	21_D	21_D	1
21_E	21_E	21_E	1
21_F	21_F	21_F	3
21_G	21_G	21_G	0
21_H	21_H	21_H	4
21_I	21_I	21_I	1
21_J	21_J	21_J	0
21_K	21_K	21_K	0
21_L	21_L	21_L	3
21_M	21_M	21_M	0
22_A	22_A	22_A	2
22_B	22_B	22_B	0
22_C	22_C	22_C	2
22_D	22_D	22_D	1
22_E	22_E	22_E	1
22_F	22_F	22_F	0
22_G	22_G	22_G	0
22_H	22_H	22_H	2
22_I	22_I	22_I	0
22_J	22_J	22_J	1
22_K	22_K	22_K	1
22_L	22_L	22_L	0
22_M	22_M	22_M	0
23_A	23_A	23_A	1
23_B	23_B	23_B	0
23_C	23_C	23_C	1
23_D	23_D	23_D	3
23_E	23_E	23_E	0
23_F	23_F	23_F	2
23_G	23_G	23_G	2
23_H	23_H	23_H	2
23_I	23_I	23_I	2
23_J	23_J	23_J	0
23_K	23_K	23_K	0
23_L	23_L	23_L	1
23_M	23_M	23_M	2
24_A	24_A	24_A	1
24_B	24_B	24_B	3
24_C	24_C	24_C	3
24_D	24_D	24_D	2
24_E	24_E	24_E	0
24_F	24_F	24_F	1
24_G	24_G	24_G	1
24_H	24_H	24_H	0
24_I	24_I	24_I	2
24_J	24_J	24_J	0
24_K	24_K	24_K	0
24_L	24_L	24_L	1
24_M	24_M	24_M	2
25_A	25_A	25_A	1
25_B	25_B	25_B	2
25_C	25_C	25_C	1
25_D	25_D	25_D	0
25_E	25_E	25_E	2
25_F	25_F	25_F	1
25_G	25_G	25_G	0
25_H	25_H	25_H	2
25_I	25_I	25_I	1
25_J	25_J	25_J	1
25_K	25_K	25_K	1
25_L	25_L	25_L	0
25_M	25_M	25_M	0
26_A	26_A	26_A	3
26_B	26_B	26_B	0
26_C	26_C	26_C	0
26_D	26_D	26_D	0
26_E	26_E	26_E	2
26_F	26_F	26_F	1
26_G	26_G	26_G	4
26_H	26_H	26_H	0
26_I	26_I	26_I	0
26_J	26_J	26_J	2
26_K	26_K	26_K	1
26_L	26_L	26_L	2
26_M	26_M	26_M	0
27_A	27_A	27_A	2
27_B	27_B	27_B	0
27_C	27_C	27_C	0
27_D	27_D	27_D	0
27_E	27_E	27_E	0
27_F	27_F	27_F	0
27_G	27_G	27_G	1
27_H	27_H	27_H	2
27_I	27_I	27_I	0
27_J	27_J	27_J	2
27_K	27_K	27_K	0
27_L	27_L	27_L	1
27_M	27_M	27_M	3
28_A	28_A	28_A	3
28_B	28_B	28_B	0
28_C	28_C	28_C	1
28_D	28_D	28_D	0
28_E	28_E	28_E	0
