topo_target	topo_source1	topo_source2	sampling_time
18_F	18_F	18_F	265
18_G	18_G	18_G	557
18_H	18_H	18_H	135
18_I	18_I	18_I	0
18_J	18_J	18_J	455
18_K	18_K	18_K	135
18_L	18_L	18_L	557
18_M	18_M	18_M	207
19_A	19_A	19_A	59
19_B	19_B	19_B	79
19_C	19_C	19_C	59
19_D	19_D	19_D	192
19_E	19_E	19_E	319
19_F	19_F	19_F	213
19_G	19_G	19_G	521
19_H	19_H	19_H	22
19_I	19_I	19_I	0
19_J	19_J	19_J	59
19_K	19_K	19_K	430
19_L	19_L	19_L	319
19_M	19_M	19_M	213
20_A	20_A	20_A	241
20_B	20_B	20_B	74
20_C	20_C	20_C	139
20_D	20_D	20_D	311
20_E	20_E	20_E	0
20_F	20_F	20_F	604
20_G	20_G	20_G	241
20_H	20_H	20_H	44
20_I	20_I	20_I	139
20_J	20_J	20_J	445
20_K	20_K	20_K	178
20_L	20_L	20_L	526
20_M	20_M	20_M	74
21_A	21_A	21_A	535
21_B	21_B	21_B	162
21_C	21_C	21_C	162
21_D	21_D	21_D	92
21_E	21_E	21_E	162
21_F	21_F	21_F	26
21_G	21_G	21_G	162
21_H	21_H	21_H	0
21_I	21_I	21_I	92
21_J	21_J	21_J	162
21_K	21_K	21_K	221
21_L	21_L	21_L	51
21_M	21_M	21_M	363
22_A	22_A	22_A	119
22_B	22_B	22_B	491
22_C	22_C	22_C	223
22_D	22_D	22_D	223
22_E	22_E	22_E	372
22_F	22_F	22_F	665
22_G	22_G	22_G	552
22_H	22_H	22_H	0
22_I	22_I	22_I	465
22_J	22_J	22_J	223
22_K	22_K	22_K	372
22_L	22_L	22_L	372
22_M	22_M	22_M	223
23_A	23_A	23_A	302
23_B	23_B	23_B	480
23_C	23_C	23_C	277
23_D	23_D	23_D	42
23_E	23_E	23_E	302
23_F	23_F	23_F	137
23_G	23_G	23_G	302
23_H	23_H	23_H	0
23_I	23_I	23_I	42
23_J	23_J	23_J	513
23_K	23_K	23_K	513
23_L	23_L	23_L	250
23_M	23_M	23_M	0
24_A	24_A	24_A	200
24_B	24_B	24_B	33
24_C	24_C	24_C	0
24_D	24_D	24_D	0
24_E	24_E	24_E	642
24_F	24_F	24_F	466
24_G	24_G	24_G	98
24_H	24_H	24_H	616
24_I	24_I	24_I	56
24_J	24_J	24_J	616
24_K	24_K	24_K	466
24_L	24_L	24_L	56
24_M	24_M	24_M	0
25_A	25_A	25_A	232
25_B	25_B	25_B	43
25_C	25_C	25_C	232
25_D	25_D	25_D	375
25_E	25_E	25_E	0
25_F	25_F	25_F	267
25_G	25_G	25_G	290
25_H	25_H	25_H	0
25_I	25_I	25_I	136
25_J	25_J	25_J	290
25_K	25_K	25_K	232
25_L	25_L	25_L	232
25_M	25_M	25_M	290
26_A	26_A	26_A	0
26_B	26_B	26_B	509
26_C	26_C	26_C	576
26_D	26_D	26_D	509
26_E	26_E	26_E	37
26_F	26_F	26_F	366
26_G	26_G	26_G	0
26_H	26_H	26_H	392
26_I	26_I	26_I	509
26_J	26_J	26_J	273
26_K	26_K	26_K	197
26_L	26_L	26_L	219
26_M	26_M	26_M	509
27_A	27_A	27_A	140
27_B	27_B	27_B	350
27_C	27_C	27_C	373
27_D	27_D	27_D	350
27_E	27_E	27_E	327
27_F	27_F	27_F	350
27_G	27_G	27_G	210
27_H	27_H	27_H	210
27_I	27_I	27_I	350
27_J	27_J	27_J	210
27_K	27_K	27_K	416
27_L	27_L	27_L	239
27_M	27_M	27_M	0
28_A	28_A	28_A	0
28_B	28_B	28_B	349
28_C	28_C	28_C	425
28_D	28_D	28_D	458
28_E	28_E	28_E	392
28_F	28_F	28_F	349
28_G	28_G	28_G	232
28_H	28_H	28_H	425
28_I	28_I	28_I	232
28_J	28_J	28_J	163
28_K	28_K	28_K	188
28_L	28_L	28_L	392
28_M	28_M	28_M	188
29_A	29_A	29_A	355
29_B	29_B	29_B	0
29_C	29_C	29_C	430
29_D	29_D	29_D	294
29_E	29_E	29_E	545
29_F	29_F	29_F	219
29_G	29_G	29_G	294
29_H	29_H	29_H	294
29_I	29_I	29_I	594
29_J	29_J	29_J	455
29_K	29_K	29_K	545
29_L	29_L	29_L	219
29_M	29_M	29_M	650
30_A	30_A	30_A	583
30_B	30_B	30_B	301
30_C	30_C	30_C	583
30_D	30_D	30_D	392
30_E	30_E	30_E	486
30_F	30_F	30_F	183
30_G	30_G	30_G	110
30_H	30_H	30_H	436
30_I	30_I	30_I	0
30_J	30_J	30_J	301
30_K	30_K	30_K	486
30_L	30_L	30_L	486
30_M	30_M	30_M	183
31_A	31_A	31_A	0
31_B	31_B	31_B	187
31_C	31_C	31_C	274
31_D	31_D	31_D	45
31_E	31_E	31_E	414
31_F	31_F	31_F	45
31_G	31_G	31_G	620
31_H	31_H	31_H	45
31_I	31_I	31_I	0
31_J	31_J	31_J	507
31_K	31_K	31_K	0
31_L	31_L	31_L	45
31_M	31_M	31_M	378
32_A	32_A	32_A	92
32_B	32_B	32_B	0
32_C	32_C	32_C	181
32_D	32_D	32_D	181
32_E	32_E	32_E	362
32_F	32_F	32_F	0
