simulation_replicate	experiment_ID	closest_sources_number_in_experiment	complexity_rotating	closest_sources_number_rotating	p_rotating	complexity_non.rotating	closest_sources_number_non.rotating	p_non.rotating
4	23_circle3	0	not finished	NA	NA	not finished	NA	NA
4	24_circle3	0	not finished	NA	NA	not finished	NA	NA
5	23_circle3	0	not finished	NA	NA	not finished	NA	NA
5	25_circle3	0	not finished	NA	NA	not finished	NA	NA
5	31_circle3	0	not finished	NA	NA	not finished	NA	NA
5	32_circle3	0	not finished	NA	NA	not finished	NA	NA
6	23_circle3	0	not finished	NA	NA	not finished	NA	NA
6	25_circle3	0	not finished	NA	NA	not finished	NA	NA
6	34_circle3	0	not finished	NA	NA	not finished	NA	NA
6	41_circle3	0	not finished	NA	NA	not finished	NA	NA
7	23_circle3	0	not finished	NA	NA	not finished	NA	NA
7	34_circle3	0	not finished	NA	NA	not finished	NA	NA
7	40_circle3	0	not finished	NA	NA	not finished	NA	NA
8	34_circle3	0	not finished	NA	NA	not finished	NA	NA
9	25_circle3	0	not finished	NA	NA	not finished	NA	NA
9	41	1	2	1	0.019512635	2	1	0.029525732
10	23	1	2	1	0.023951224	2	1	0.015010965
8	41	1	2	1	0.037920365	2	1	0.306538539
6	23	1	2	1	0.06728958	3	1	0.022513624
6	33	1	2	1	0.194459786	2	1	0.010535385
2	41	1	3	1	0.010239677	4	1	0.029224884
3	24	1	3	1	0.012720525	3	1	0.039476896
3	40	1	3	1	0.013254109	not finished	NA	NA
9	23	1	3	1	0.013485219	not finished	NA	NA
10	24	1	3	1	0.013599004	3	1	0.011544394
5	41	1	3	1	0.013880786	4	1	0.236306751
10	33	1	3	1	0.014609963	4	1	0.051564965
2	40	1	3	1	0.017064798	3	1	0.024502107
4	23	1	3	1	0.017456038	4	1	0.092031923
1	23	1	3	1	0.019164564	2	1	0.073603007
2	23	1	3	1	0.019607914	3	1	0.013285049
3	41	1	3	1	0.020373697	not finished	NA	NA
7	41	1	3	1	0.020871036	3	1	0.021445888
8	31	1	3	1	0.023865179	2	1	0.125696138
7	24	1	3	1	0.024799048	3	1	0.014995181
4	31	1	3	1	0.027467468	3	1	0.25650169
3	23	1	3	1	0.029272718	not finished	NA	NA
4	40	1	3	1	0.030531591	3	1	0.660010795
7	31	1	3	1	0.03407507	3	1	0.014133965
3	33	1	3	1	0.034575117	not finished	NA	NA
7	23	1	3	1	0.039401781	3	1	0.095252473
5	31	1	3	1	0.039684285	3	1	0.010497768
3	31	1	3	1	0.041002485	not finished	NA	NA
10	31	1	3	1	0.043218021	3	1	0.013471862
10	41	1	3	1	0.044725429	3	1	0.047164202
4	41	1	3	1	0.055767061	3	1	0.058837287
9	31	1	3	1	0.060009576	4	1	0.019492015
6	31	1	3	1	0.066142412	4	1	0.062914544
6	40	1	3	1	0.069896144	not finished	NA	NA
8	33	1	3	1	0.074162603	2	1	0.014942899
5	23	1	3	1	0.088593337	3	1	0.011334454
9	33	1	3	1	0.108478175	4	1	0.013064366
1	31	1	3	1	0.109511746	3	1	0.168470367
2	31	1	3	1	0.124187172	4	1	0.058716732
9	40	1	3	1	0.147212974	4	1	0.042506101
8	24	1	3	1	0.186816426	3	1	0.011044649
9	24	1	3	1	0.468995581	not finished	NA	NA
6	41	1	4	1	0.011271669	not finished	NA	NA
1	41	1	4	1	0.029395507	not finished	NA	NA
6	24	1	4	1	0.03477069	not finished	NA	NA
2	33	1	4	1	0.038391968	4	1	0.039834475
8	40	1	4	1	0.047269681	4	1	0.403072401
8	23	1	4	1	0.058289176	3	1	0.032249972
1	33	1	4	1	0.068347716	3	1	0.022384929
1	40	1	4	1	0.083277031	3	1	0.012751555
4	33	1	4	1	0.085087611	4	1	0.16155507
5	40	1	4	1	0.102420633	4	1	0.130316888
4	24	1	4	1	0.104134824	3	1	0.020816452
2	24	1	4	1	0.111098891	4	1	0.259390405
1	24	1	4	1	0.112202782	4	1	0.029084865
10	40	1	4	1	0.127654634	4	1	0.11802943
5	33	1	4	1	0.188679523	not finished	NA	NA
7	40	1	4	1	0.334823676	4	1	0.019791579
7	33	1	4	1	0.553989225	4	1	0.011030599
5	24	1	4	1	0.586971452	3	1	0.065404068
10	24_33	2	2	1	0.010491152	2	1	0.028970688
6	33_41	2	2	1	0.169784648	2	1	0.010505104
6	24_33	2	2	1	0.207235167	2	1	0.010712408
4	31_41	2	2	2	0.018930321	3	2	0.01271611
4	24_40	2	2	2	0.02375269	3	2	0.044529719
10	23_41	2	2	2	0.03411287	2	1	0.023470097
9	33_40	2	2	2	0.046223452	3	2	0.053112901
10	24_31	2	2	2	0.048905464	2	1	0.028941005
1	31_33	2	2	2	0.05120479	2	2	0.3520071
8	23_41	2	2	2	0.055084941	2	2	0.544498264
8	31_41	2	2	2	0.066119077	2	1	0.074146825
8	31_33	2	2	2	0.09956292	2	1	0.073495469
6	31_33	2	2	2	0.366064093	2	2	0.905468413
2	23_40	2	2	2	0.404889776	2	2	0.011306785
6	23_33	2	2	2	0.543274858	2	2	0.965380327
10	23_33	2	2	2	0.891202234	2	1	0.023431519
8	31_40	2	3	1	0.010243294	2	1	0.074251206
4	23_24	2	3	1	0.010548367	3	1	0.020366859
7	31_40	2	3	1	0.010578183	3	1	0.014177637
4	33_41	2	3	1	0.010683382	4	1	0.056717588
4	24_41	2	3	1	0.011055674	3	1	0.020400945
2	23_24	2	3	1	0.011165974	3	1	0.013524146
4	24_33	2	3	1	0.011894871	3	1	0.020403314
9	23_24	2	3	1	0.013992068	not finished	NA	NA
6	23_40	2	3	1	0.014416217	3	1	0.022614388
10	23_40	2	3	1	0.014550152	2	1	0.022313911
4	31_40	2	3	1	0.015255349	3	1	0.181421065
8	23_31	2	3	1	0.015347213	2	1	0.074344821
4	31_33	2	3	1	0.015579606	3	2	0.166834295
5	31_40	2	3	1	0.016785404	3	1	0.010564231
3	23_31	2	3	1	0.017711173	not finished	NA	NA
10	24_41	2	3	1	0.017778606	2	1	0.02899168
9	24_33	2	3	1	0.018181061	4	1	0.156915964
1	31_40	2	3	1	0.021668156	3	1	0.169138239
6	23_31	2	3	1	0.022315097	3	1	0.022488616
3	33_41	2	3	1	0.022865267	not finished	NA	NA
5	23_31	2	3	1	0.029600616	3	1	0.011425439
4	23_31	2	3	1	0.040902854	4	1	0.224405956
1	23_31	2	3	1	0.053537529	2	1	0.074516203
10	31_40	2	3	1	0.056952814	3	1	0.012111234
6	31_40	2	3	1	0.084719272	4	1	0.063738102
3	31_40	2	3	1	0.089476649	not finished	NA	NA
3	40_41	2	3	1	0.148313593	not finished	NA	NA
7	23_24	2	3	1	0.19180543	3	1	0.015247965
7	24_40	2	3	2	0.010034875	3	1	0.015188299
7	31_33	2	3	2	0.010222066	3	1	0.014243545
10	33_41	2	3	2	0.011240837	4	1	0.046458973
2	24_40	2	3	2	0.01131439	3	2	0.016190294
2	24_31	2	3	2	0.011708337	3	2	0.010659413
5	23_40	2	3	2	0.012828769	3	1	0.011359736
5	24_41	2	3	2	0.013541002	3	2	0.45078397
1	24_31	2	3	2	0.013815382	3	2	0.024775834
7	24_33	2	3	2	0.014098208	3	1	0.015209626
4	23_41	2	3	2	0.014697877	3	2	0.012151985
1	23_41	2	3	2	0.014697992	2	1	0.074203755
3	33_40	2	3	2	0.014962392	4	2	0.023569386
6	23_24	2	3	2	0.015436961	3	1	0.02238865
7	24_31	2	3	2	0.017483716	3	2	0.017389467
2	23_41	2	3	2	0.017875661	3	2	0.017859799
4	23_33	2	3	2	0.018298426	4	2	0.522984646
6	23_41	2	3	2	0.018485774	3	1	0.022661527
1	31_41	2	3	2	0.019863056	3	1	0.169476965
7	33_40	2	3	2	0.020089388	4	1	0.019819264
7	23_33	2	3	2	0.02108026	4	1	0.012590377
1	24_40	2	3	2	0.022150059	3	2	0.105935611
5	31_33	2	3	2	0.022726629	3	1	0.010497746
9	24_41	2	3	2	0.022855995	2	2	0.030617039
8	40_41	2	3	2	0.025087349	2	1	0.305400862
9	31_41	2	3	2	0.025987575	3	2	0.674283702
8	24_31	2	3	2	0.027605376	2	1	0.074553693
9	33_41	2	3	2	0.028028091	3	2	0.025664097
3	23_33	2	3	2	0.031203767	not finished	NA	NA
1	33_40	2	3	2	0.03200018	3	1	0.022216124
3	23_40	2	3	2	0.033163155	4	2	0.018708799
5	23_41	2	3	2	0.034212762	3	1	0.011505851
7	23_41	2	3	2	0.037113494	3	2	0.088440787
8	24_41	2	3	2	0.037270558	2	2	0.097993075
4	24_31	2	3	2	0.037872891	3	1	0.020359486
8	23_40	2	3	2	0.039842398	3	2	0.01299408
2	23_33	2	3	2	0.042071891	3	1	0.013467974
2	31_33	2	3	2	0.043226901	3	2	0.029181546
8	33_40	2	3	2	0.044681512	2	1	0.01489201
2	23_31	2	3	2	0.044782514	3	2	0.011741854
9	23_40	2	3	2	0.052120304	not finished	NA	NA
10	33_40	2	3	2	0.065309172	3	2	0.029754115
6	31_41	2	3	2	0.065577218	4	1	0.064748229
5	24_40	2	3	2	0.074776545	2	2	0.184351007
1	23_33	2	3	2	0.084822713	2	2	0.386620977
6	33_40	2	3	2	0.086785993	2	1	0.010557187
9	40_41	2	3	2	0.089258408	3	2	0.202589186
10	23_24	2	3	2	0.095364286	2	2	0.103320501
1	24_41	2	3	2	0.097075348	4	1	0.1282943
3	24_31	2	3	2	0.104557333	3	1	0.039131469
2	24_41	2	3	2	0.124141895	3	2	0.056661449
9	24_31	2	3	2	0.126173731	4	2	0.010744909
5	24_31	2	3	2	0.129787106	3	2	0.016315129
5	23_33	2	3	2	0.136402962	3	2	0.059397982
3	24_40	2	3	2	0.137471124	3	2	0.112074216
10	23_31	2	3	2	0.158326949	2	1	0.023430974
8	23_33	2	3	2	0.160163736	2	1	0.014885157
9	24_40	2	3	2	0.209162494	3	2	0.010432187
7	23_40	2	3	2	0.215092686	3	2	0.017212068
6	24_31	2	3	2	0.227168344	3	2	0.272765429
3	24_41	2	3	2	0.238305682	3	2	0.018904643
10	31_33	2	3	2	0.242587146	3	1	0.012099986
6	24_41	2	3	2	0.267939463	3	2	0.022362407
9	31_33	2	3	2	0.291632445	3	2	0.015284514
9	23_41	2	3	2	0.29501838	3	2	0.026870408
7	24_41	2	3	2	0.314248608	3	1	0.015193605
4	23_40	2	3	2	0.424659806	3	2	0.515263577
7	31_41	2	3	2	0.43905212	3	1	0.01422379
3	31_33	2	3	2	0.440939524	not finished	NA	NA
10	24_40	2	3	2	0.570927161	2	1	0.027546545
6	40_41	2	4	1	0.026724577	not finished	NA	NA
2	40_41	2	4	1	0.05089452	3	1	0.014197303
5	40_41	2	4	1	0.073863139	4	1	0.099430507
10	40_41	2	4	1	0.201912136	4	1	0.052188209
2	33_41	2	4	2	0.011755077	4	2	0.118172471
8	33_41	2	4	2	0.012302975	2	1	0.01498078
3	23_41	2	4	2	0.012537099	not finished	NA	NA
9	31_40	2	4	2	0.021663728	not finished	NA	NA
9	23_33	2	4	2	0.031311928	4	1	0.156896251
2	31_41	2	4	2	0.037751368	4	2	0.186906177
7	23_31	2	4	2	0.04069628	3	1	0.014125822
8	24_40	2	4	2	0.041982618	3	2	0.036010545
5	24_33	2	4	2	0.043508678	4	1	0.035204232
5	33_40	2	4	2	0.086896141	3	2	0.022601305
3	24_33	2	4	2	0.097315877	3	1	0.039072298
3	23_24	2	4	2	0.100907023	3	2	0.015793488
2	33_40	2	4	2	0.113981916	3	2	0.476486277
1	40_41	2	4	2	0.124022468	3	1	0.012740035
5	31_41	2	4	2	0.141672167	3	1	0.010565856
10	31_41	2	4	2	0.146660534	3	1	0.012111683
1	24_33	2	4	2	0.148930037	3	1	0.0218554
5	33_41	2	4	2	0.217612497	4	1	0.099356036
7	40_41	2	4	2	0.222013213	3	1	0.021525869
1	23_40	2	4	2	0.257449002	2	1	0.07434023
3	31_41	2	4	2	0.26585044	not finished	NA	NA
2	24_33	2	4	2	0.267085768	4	1	0.259273627
7	33_41	2	4	2	0.282106446	3	1	0.020930253
1	33_41	2	4	2	0.28649324	3	1	0.02234603
9	23_31	2	4	2	0.335415812	not finished	NA	NA
4	33_40	2	4	2	0.461374773	3	2	0.282392552
4	40_41	2	4	2	0.544585235	3	1	0.180987504
6	24_40	2	4	2	0.588112954	4	2	0.156999616
5	23_24	2	4	2	0.607071435	3	1	0.011363688
1	23_24	2	4	2	0.637197697	2	1	0.074638389
8	24_33	2	not finished	NA	NA	2	1	0.014894369
2	31_40	2	not finished	NA	NA	3	1	0.014159715
8	23_24	2	not finished	NA	NA	3	1	0.032865293
6	24_33_41	3	2	1	0.169658432	2	1	0.010783961
4	31_40_41	3	2	2	0.011762102	3	2	0.012750994
9	24_40_41	3	2	2	0.013041195	2	2	0.029532177
8	23_40_41	3	2	2	0.013629907	2	2	0.544748052
4	24_40_41	3	2	2	0.017965514	3	2	0.044351537
4	23_31_41	3	2	2	0.01866681	3	2	0.012134107
10	24_31_41	3	2	2	0.02001048	2	1	0.029033927
4	24_31_41	3	2	2	0.020073689	3	1	0.020461137
4	31_33_41	3	2	2	0.021328851	3	2	0.166991688
4	24_33_40	3	2	2	0.022026086	3	2	0.044576628
10	23_40_41	3	2	2	0.02451427	2	1	0.02280095
2	23_40_41	3	2	2	0.03261707	2	2	0.011071634
2	23_33_40	3	2	2	0.037389593	2	2	0.011375754
10	24_31_40	3	2	2	0.041768097	2	1	0.028214707
9	24_33_40	3	2	2	0.046556334	3	2	0.010371064
1	31_33_40	3	2	2	0.047043376	2	2	0.351568128
10	24_31_33	3	2	2	0.048807276	2	1	0.029024884
8	31_33_40	3	2	2	0.050847587	2	1	0.073566097
1	31_33_41	3	2	2	0.052729764	2	2	0.351485542
8	31_40_41	3	2	2	0.059637064	2	1	0.073958331
1	23_31_33	3	2	2	0.071850908	2	2	0.386076366
8	23_31_41	3	2	2	0.092176336	2	2	0.545399761
8	24_31_33	3	2	2	0.096489734	2	1	0.073737175
8	23_31_33	3	2	2	0.097126606	2	1	0.07360645
10	23_33_40	3	2	2	0.208566174	2	1	0.022928902
10	23_33_41	3	2	2	0.31722123	2	1	0.023340559
6	31_33_41	3	2	2	0.346156429	2	2	0.905990418
6	31_33_40	3	2	2	0.360931769	2	2	0.905352036
6	24_31_33	3	2	2	0.39789484	2	2	0.906140869
2	23_24_40	3	2	2	0.410239743	2	2	0.0114123
6	23_24_33	3	2	2	0.740177966	2	2	0.965865415
6	23_33_41	3	2	2	0.762617879	2	2	0.965916513
6	23_33_40	3	2	2	0.773998162	2	2	0.965435428
6	23_31_33	3	2	2	0.794842228	2	2	0.965690383
2	24_40_41	3	3	0	0.138293156	3	2	0.015798839
4	23_31_33	3	3	1	0.014374112	3	2	0.16650181
6	23_31_40	3	3	1	0.019025697	3	1	0.022255914
4	24_33_41	3	3	1	0.020608471	3	1	0.020519679
4	23_24_31	3	3	1	0.046613844	3	1	0.020424505
1	23_31_40	3	3	1	0.213240638	2	1	0.074594436
3	31_40_41	3	3	1	0.633131751	not finished	NA	NA
7	23_24_33	3	3	2	0.011065714	3	1	0.015317643
9	24_33_41	3	3	2	0.012093696	2	2	0.03071693
9	23_24_41	3	3	2	0.012103904	2	2	0.03062643
5	23_31_40	3	3	2	0.012513708	3	1	0.011466
8	23_24_31	3	3	2	0.013103734	2	1	0.074572563
1	23_24_40	3	3	2	0.013352003	2	1	0.074620647
7	23_40_41	3	3	2	0.013698726	3	2	0.017437173
9	24_31_33	3	3	2	0.013736775	3	2	0.014985654
9	23_31_33	3	3	2	0.014093794	3	2	0.015225789
10	23_24_41	3	3	2	0.014305069	2	2	0.103416761
6	23_24_40	3	3	2	0.014533937	3	1	0.022209185
5	24_33_40	3	3	2	0.014741632	2	2	0.185122909
4	23_24_41	3	3	2	0.01478795	3	2	0.012244006
3	33_40_41	3	3	2	0.015380505	4	2	0.023613365
5	23_31_33	3	3	2	0.01581802	3	2	0.059973435
3	23_40_41	3	3	2	0.01592809	4	2	0.018813861
5	31_33_40	3	3	2	0.016513136	3	2	0.03578128
5	23_31_41	3	3	2	0.01698238	3	1	0.011619671
1	23_31_41	3	3	2	0.018038906	2	1	0.074352451
5	31_33_41	3	3	2	0.018562228	3	2	0.035768626
3	23_31_40	3	3	2	0.018746173	4	2	0.018798927
2	24_33_40	3	3	2	0.018925381	3	2	0.016251883
4	23_33_41	3	3	2	0.019681396	3	2	0.012170282
7	23_24_40	3	3	2	0.02128263	3	2	0.017371021
6	23_24_31	3	3	2	0.021580112	3	1	0.022151997
9	23_24_40	3	3	2	0.021605116	3	2	0.01039125
1	23_40_41	3	3	2	0.021644561	2	1	0.074178426
1	33_40_41	3	3	2	0.023113851	3	1	0.022256444
8	23_31_40	3	3	2	0.023377844	2	1	0.074389898
10	23_24_40	3	3	2	0.023519419	2	2	0.101760773
3	24_31_41	3	3	2	0.02387271	3	2	0.018913017
7	33_40_41	3	3	2	0.024213236	3	1	0.0217586
10	24_33_41	3	3	2	0.025602362	2	1	0.029044715
2	23_24_41	3	3	2	0.025855126	3	2	0.017854198
9	31_40_41	3	3	2	0.025990211	3	2	0.671100142
10	31_33_41	3	3	2	0.028335239	3	1	0.012099668
2	23_24_33	3	3	2	0.031031496	3	1	0.013527891
4	24_31_33	3	3	2	0.032843146	3	1	0.020494559
10	24_40_41	3	3	2	0.034421017	2	1	0.027720836
9	23_24_31	3	3	2	0.035674054	4	2	0.010714197
7	23_24_41	3	3	2	0.03751108	3	2	0.088690156
3	23_31_33	3	3	2	0.041243516	4	3	0.011065102
3	23_33_41	3	3	2	0.043581197	not finished	NA	NA
2	23_24_31	3	3	2	0.047055863	3	2	0.060425406
6	24_33_40	3	3	2	0.071374798	2	1	0.010692514
1	23_33_41	3	3	2	0.071590389	2	2	0.385692131
5	24_40_41	3	3	2	0.073288772	2	2	0.185476111
3	23_31_41	3	3	2	0.078037673	not finished	NA	NA
6	23_31_41	3	3	2	0.080978961	3	1	0.022695644
6	33_40_41	3	3	2	0.083338463	2	1	0.010517779
6	23_40_41	3	3	2	0.08678455	3	1	0.022486039
6	24_40_41	3	3	2	0.089484225	3	2	0.022197524
10	23_24_33	3	3	2	0.090531517	2	2	0.102889651
10	23_31_40	3	3	2	0.102954952	2	1	0.022926907
2	23_33_41	3	3	2	0.10533404	3	2	0.017735897
7	23_24_31	3	3	2	0.116582172	3	2	0.01729505
8	23_24_33	3	3	2	0.126309943	2	1	0.014839592
5	23_24_33	3	3	2	0.133649574	3	2	0.05980131
3	24_31_40	3	3	2	0.140184553	3	2	0.111864807
2	24_33_41	3	3	2	0.156240665	3	2	0.056600344
6	24_31_40	3	3	2	0.187575313	3	2	0.531397103
3	24_40_41	3	3	2	0.19892346	3	2	0.112263517
5	23_24_31	3	3	2	0.200440272	3	1	0.011450661
7	31_40_41	3	3	2	0.214556315	3	1	0.01424207
5	24_33_41	3	3	2	0.21938631	3	2	0.450666136
1	31_40_41	3	3	2	0.233707765	3	1	0.169290841
10	31_33_40	3	3	2	0.253067329	3	1	0.012076465
10	24_33_40	3	3	2	0.26359964	2	1	0.027686637
9	23_40_41	3	3	2	0.305450954	3	2	0.026383508
4	23_31_40	3	3	2	0.340029448	3	2	0.515839333
4	23_40_41	3	3	2	0.421177046	3	2	0.515483685
6	31_40_41	3	3	2	0.421580042	4	1	0.064280183
3	31_33_41	3	3	2	0.481830893	not finished	NA	NA
1	24_31_40	3	3	2	0.599725485	3	2	0.922802896
1	23_24_31	3	3	2	0.667316207	2	1	0.074818052
7	24_31_40	3	3	3	0.019082089	3	2	0.017289903
5	24_31_33	3	3	3	0.022343132	3	2	0.016347559
3	23_24_33	3	3	3	0.02759159	3	2	0.015779865
5	24_31_40	3	3	3	0.031698716	2	2	0.184980313
9	24_31_41	3	3	3	0.03364091	2	2	0.029798971
9	31_33_41	3	3	3	0.039028816	3	3	0.428538957
1	24_40_41	3	3	3	0.039900881	3	2	0.426386351
8	24_33_40	3	3	3	0.053508377	2	1	0.014875315
10	23_24_31	3	3	3	0.064972999	2	2	0.102783316
1	24_33_40	3	3	3	0.070094634	3	3	0.482142131
5	23_24_40	3	3	3	0.070192945	2	2	0.185109133
4	23_24_40	3	3	3	0.075774743	3	3	0.024005562
8	24_40_41	3	3	3	0.075903771	2	2	0.098112818
7	23_33_40	3	3	3	0.077588687	3	2	0.0174403
5	23_33_41	3	3	3	0.07922888	3	2	0.059776661
4	31_33_40	3	3	3	0.079772269	3	3	0.018734812
3	23_24_41	3	3	3	0.085313741	3	3	0.037608167
8	23_24_41	3	3	3	0.092905727	2	2	0.54590708
9	33_40_41	3	3	3	0.12715855	3	3	0.117397673
5	23_24_41	3	3	3	0.138743307	3	1	0.011521712
3	23_24_40	3	3	3	0.143050316	3	3	0.213802625
5	24_31_41	3	3	3	0.154744347	3	2	0.016303408
1	23_33_40	3	3	3	0.1684309	2	2	0.385675744
7	23_31_41	3	3	3	0.185956291	3	3	0.056781254
8	31_33_41	3	3	3	0.23664442	2	1	0.073477414
2	23_31_33	3	3	3	0.256998359	3	2	0.060384399
1	23_24_41	3	3	3	0.301095661	2	1	0.074463887
4	23_33_40	3	3	3	0.338456505	3	3	0.461424978
5	23_33_40	3	3	3	0.398327052	3	3	0.206734992
1	24_31_33	3	3	3	0.43534535	2	2	0.352812406
8	23_33_40	3	3	3	0.540236551	2	1	0.014823414
1	24_31_41	3	3	3	0.581401987	3	2	0.922884826
4	24_31_40	3	3	3	0.584209213	3	3	0.082940111
6	24_31_41	3	3	3	0.584927486	3	2	0.53438285
7	24_31_41	3	3	3	0.623134019	3	3	0.09173464
2	23_31_41	3	3	3	0.667157751	3	3	0.838406496
6	23_24_41	3	3	3	0.68659743	3	1	0.022100534
8	24_31_41	3	3	3	0.730434396	2	2	0.098305485
10	23_31_33	3	3	3	0.811657086	2	1	0.023268065
8	23_24_40	3	4	1	0.315081148	3	2	0.012734021
9	23_24_33	3	4	2	0.011699747	4	1	0.157064406
10	33_40_41	3	4	2	0.024056669	3	2	0.030446895
8	24_31_40	3	4	2	0.027520702	2	1	0.074354098
2	31_40_41	3	4	2	0.032852893	3	1	0.014202352
5	31_40_41	3	4	2	0.060317518	4	1	0.099016059
3	23_24_31	3	4	2	0.081221507	3	3	0.010659397
10	31_40_41	3	4	2	0.11851692	3	1	0.012094827
3	24_33_41	3	4	2	0.132741426	3	2	0.019169554
5	23_40_41	3	4	2	0.147486311	3	1	0.011498384
5	33_40_41	3	4	2	0.164698855	3	2	0.022818923
3	31_33_40	3	4	2	0.472205331	4	2	0.023485631
4	33_40_41	3	4	2	0.511148082	3	2	0.282907996
4	23_24_33	3	4	2	0.561777907	3	1	0.020508649
2	31_33_41	3	4	3	0.020371853	3	2	0.029234785
2	31_33_40	3	4	3	0.020849133	3	2	0.029401955
2	24_31_33	3	4	3	0.031493131	3	2	0.011192103
8	33_40_41	3	4	3	0.038146865	2	1	0.014940065
7	31_33_40	3	4	3	0.045358072	3	1	0.014258307
7	23_31_33	3	4	3	0.077651585	3	1	0.014212148
3	23_33_40	3	4	3	0.082345005	4	2	0.023368447
9	24_31_40	3	4	3	0.115112424	3	2	0.010375657
7	24_31_33	3	4	3	0.116774521	3	2	0.01737649
7	23_31_40	3	4	3	0.188615246	3	2	0.017567867
2	24_31_41	3	4	3	0.237281585	3	3	0.205341164
1	24_33_41	3	4	3	0.252348084	3	1	0.021893913
3	24_31_33	3	4	3	0.34024414	3	1	0.039158084
7	31_33_41	3	4	3	0.364999552	3	1	0.014292271
9	23_33_40	3	4	3	0.536673279	3	2	0.053102351
8	23_33_41	3	4	3	0.539281482	2	2	0.544390549
9	31_33_40	3	4	3	0.579637764	3	2	0.015054428
7	24_33_40	3	4	3	0.583356688	3	1	0.0152657
9	23_31_41	3	4	3	0.584467165	3	2	0.026450218
1	23_24_33	3	4	3	0.624901869	2	2	0.386080701
