simulation_replicate	experiment_ID	closest_sources_number_in_experiment	complexity_rotating	closest_sources_number_rotating	p_rotating	complexity_non.rotating	closest_sources_number_non.rotating	p_non.rotating
3	23_24_40_41	4	3	3	0.155108486	3	3	0.213832047
4	23_33_40_41	4	3	3	0.159326115	3	3	0.461363362
8	24_31_33_41	4	3	3	0.166624039	2	2	0.097986292
10	23_24_33_40	4	3	3	0.197580892	2	2	0.101681551
8	31_33_40_41	4	3	3	0.201025057	2	1	0.074039802
10	23_24_33_41	4	3	3	0.237463545	2	2	0.103136126
1	24_31_33_41	4	3	3	0.273259972	2	2	0.351256101
4	23_31_33_40	4	3	3	0.274659695	3	3	0.461378193
10	23_31_33_41	4	3	3	0.285115522	2	1	0.023234194
2	23_31_33_41	4	3	3	0.342597655	3	3	0.838516155
8	23_24_33_40	4	3	3	0.3490435	2	1	0.014854993
7	23_33_40_41	4	3	3	0.399215479	3	2	0.017392626
2	23_24_31_33	4	3	3	0.427277075	3	2	0.062294108
5	23_31_33_40	4	3	3	0.479467123	3	3	0.206853363
5	23_33_40_41	4	3	3	0.497338547	3	3	0.20731883
4	24_31_33_40	4	3	3	0.511927029	3	3	0.082678418
10	23_31_33_40	4	3	3	0.526873971	2	1	0.022837215
8	24_31_40_41	4	3	3	0.531115252	2	2	0.098246273
5	23_24_33_40	4	3	3	0.580252504	2	2	0.181710597
1	24_31_33_40	4	3	3	0.595754792	2	2	0.351380144
7	23_24_33_40	4	3	3	0.600122754	3	2	0.017281852
2	23_31_40_41	4	3	3	0.603219772	2	2	0.011047808
6	24_31_40_41	4	3	3	0.627849321	3	2	0.53215881
1	23_24_31_33	4	3	3	0.659006451	2	2	0.386578223
6	23_24_31_41	4	3	3	0.669624979	3	1	0.022242405
1	24_31_40_41	4	3	3	0.71995391	3	2	0.922274067
6	23_24_40_41	4	3	3	0.742788613	3	1	0.022249007
2	23_24_31_41	4	3	3	0.90132169	3	3	0.835439202
3	23_31_40_41	4	4	2	0.529621634	4	2	0.018948893
3	31_33_40_41	4	4	2	0.61462555	4	2	0.023619847
2	24_31_40_41	4	4	3	0.031025141	3	3	0.20476293
2	24_31_33_40	4	4	3	0.033081078	3	2	0.011149927
7	23_24_31_33	4	4	3	0.046376432	3	2	0.017364055
8	23_24_33_41	4	4	3	0.067030315	2	2	0.545364645
8	23_24_31_40	4	4	3	0.086401385	2	1	0.075195904
2	24_33_40_41	4	4	3	0.090720265	3	2	0.015772809
3	23_31_33_40	4	4	3	0.095711454	4	2	0.023404264
3	23_33_40_41	4	4	3	0.107216549	4	2	0.023479451
7	31_33_40_41	4	4	3	0.113842442	3	1	0.014296188
9	23_24_31_41	4	4	3	0.137671046	2	2	0.030759181
7	24_33_40_41	4	4	3	0.150098991	3	1	0.015274624
10	23_31_40_41	4	4	3	0.300191877	2	1	0.022714685
9	24_31_33_40	4	4	3	0.303726381	3	2	0.010436363
9	23_24_33_40	4	4	3	0.320599403	3	2	0.010432319
3	24_31_33_40	4	4	3	0.377656282	3	2	0.111433587
3	24_31_33_41	4	4	3	0.406895147	3	2	0.018708821
9	23_31_40_41	4	4	3	0.581000676	3	2	0.026574975
7	23_24_33_41	4	4	3	0.788244481	3	2	0.088865635
2	23_24_31_40	4	4	3	0.819472428	2	2	0.011390526
9	23_31_33_41	4	4	4	0.016004265	3	2	0.026735832
9	23_33_40_41	4	4	4	0.066060121	3	2	0.027097647
3	23_24_33_40	4	4	4	0.089731163	3	3	0.213506039
7	23_31_33_41	4	4	4	0.106620358	3	3	0.056937055
1	23_24_33_41	4	4	4	0.199835024	2	2	0.386015737
7	23_31_40_41	4	4	4	0.248755907	3	3	0.056942561
7	23_31_33_40	4	4	4	0.46758258	3	2	0.017520555
8	23_33_40_41	4	4	4	0.493185002	2	2	0.544482037
8	23_24_40_41	4	4	4	0.657573726	2	2	0.54524439
2	23_31_33_40	4	4	4	0.865876494	2	2	0.011354776
9	23_24_33_41	4	not finished	NA	NA	2	2	0.030982024
8	24_33_40_41	4	not finished	NA	NA	2	2	0.097986452
9	23_24_31_40	4	not finished	NA	NA	3	2	0.010455249
9	23_31_33_40	4	not finished	NA	NA	3	2	0.015095729
2	31_33_40_41	4	not finished	NA	NA	3	2	0.029500339
4	23_24_33_40_41	5	2	2	0.010976899	3	3	0.023885954
